S. No., States/UT       , Claims_Individual_upto_3006, Claims_Community_upto_3006, Claims_Individual_upto_3107, Claims_Community_upto_3107, Titles_Individual_upto_3006, Titles_Community_upto_3006, Titles_Individual_upto_3107, Titles_Community_upto_3107
     1, Andhra Pradesh  ,                      285098,                       3294,                      285098,                       3294,                      226651,                       1822,                      226651,                       1822
     2, Assam           ,                      148965,                       6046,                      148965,                       6046,                       57325,                       1477,                       57325,                       1477
     3, Bihar           ,                        4696,                          0,                        4696,                          0,                         191,                          0,                         191,                          0
     4, Chhattisgarh    ,                      890220,                      57259,                      890220,                      57259,                      481432,                      52636,                      481432,                      52636
     5, Goa             ,                        9757,                        379,                        9757,                        379,                         856,                         15,                         856,                         15
     6, Gujarat         ,                      183055,                       7187,                      183055,                       7187,                       98732,                       4792,                       98732,                       4792
     7, Himachal Pradesh,                        4883,                        683,                        4981,                        683,                         662,                        146,                         755,                        146
     8, Jharkhand       ,                      107032,                       3724,                      107032,                       3724,                       59866,                       2104,                       59866,                       2104
     9, Karnataka       ,                      288549,                       5940,                      289236,                       5940,                       14981,                       1345,                       15355,                       1345
    10, Kerala          ,                       44455,                       1014,                       44455,                       1014,                       29422,                        282,                       29422,                        282
    11, Madhya Pradesh  ,                      585326,                      42187,                      585326,                      42187,                      266901,                      27976,                      266901,                      27976
    12, Maharashtra     ,                      397897,                      11259,                      397897,                      11259,                      199667,                       8668,                      199667,                       8668
    13, Odisha          ,                      730908,                      35457,                      732530,                      35843,                      462996,                       8872,                      463129,                       8990
    14, Rajasthan       ,                      113162,                       5213,                      113162,                       5213,                       49215,                       2551,                       49215,                       2551
    15, Tamil Nadu      ,                       33119,                       1548,                       33119,                       1548,                       15442,                       1066,                       15442,                       1066
    16, Telangana       ,                      651822,                       3427,                      651822,                       3427,                      230735,                        721,                      230735,                        721
    17, Tripura         ,                      200557,                        164,                      200557,                        164,                      127931,                        101,                      127931,                        101
    18, Uttar Pradesh   ,                       92972,                       1194,                       92972,                       1194,                       22537,                        893,                       22537,                        893
    19, Uttarakhand     ,                        3587,                       3091,                        3587,                       3091,                         184,                          1,                         184,                          1
    20, West Bengal     ,                      131962,                      10119,                      131962,                      10119,                       44444,                        686,                       44444,                        686
    21, Jammu & Kashmir ,                       33233,                      12857,                       33233,                      12857,                         429,                       5591,                         429,                       5591
