Claims_Rejected,Claims_Disposed,Percent_Disposed,Percent_Titles_Distributed
58410,286883,99.48,79.22
NA/NR,58802,37.93,37.93
4496,4687,99.81,4.07
406787,940855,99.30,56.37
951,1822,17.98,8.59
2331,105855,55.64,54.42
54,955,16.86,15.91
28107,90077,81.33,55.95
262379,279079,94.55,5.66
12835,42539,93.56,65.33
322407,617284,98.37,46.99
172631,380966,93.11,50.92
146340,618459,80.49,61.44
65921,117687,99.42,43.73
12711,29219,84.28,47.62
94426,325882,49.73,35.32
68848,196880,98.09,63.79
70736,94166,100.00,24.88
6493,6678,100.00,2.77
96587,141717,99.74,31.76
39924,45944,99.68,13.06
