S. No.,States/UT,Claims_Individual_upto_3006,Claims_Community_upto_3006,Claims_Individual_upto_3107,Claims_Community_upto_3107,Titles_Individual_upto_3006,Titles_Community_upto_3006,Titles_Individual_upto_3107,Titles_Community_upto_3107,Claims_Rejected,Claims_Disposed,Percent_Disposed,Percent_Titles_Distributed,Forest_Land_Individual_acres,Forest_Land_Community_acres
1,Andhra Pradesh,285098,3294,285098,3294,226651,1822,226651,1822,58410,286883,99.48,79.22,454706,526454
2,Assam,148965,6046,148965,6046,57325,1477,57325,1477,NA/NR,58802,37.93,37.93,NA/NR,NA/NR
3,Bihar,4696,0,4696,0,191,0,191,0,4496,4687,99.81,4.07,53.03,0.00
4,Chhattisgarh,890220,57259,890220,57259,481432,52636,481432,52636,406787,940855,99.30,56.37,949770.89,9102957.49
5,Goa,9757,379,9757,379,856,15,856,15,951,1822,17.98,8.59,1506.45,18.66
6,Gujarat,183055,7187,183055,7187,98732,4792,98732,4792,2331,105855,55.64,54.42,168448.83,1240680.15
7,Himachal Pradesh,4883,683,4981,683,662,146,755,146,54,955,16.86,15.91,138.84,62677.24
8,Jharkhand,107032,3724,107032,3724,59866,2104,59866,2104,28107,90077,81.33,55.95,153395.86,103758.97
9,Karnataka,288549,5940,289236,5940,14981,1345,15355,1345,262379,279079,94.55,5.66,20296.12,43478.00
10,Kerala,44455,1014,44455,1014,29422,282,29422,282,12835,42539,93.56,65.33,38810.58,788651.25
11,Madhya Pradesh,585326,42187,585326,42187,266901,27976,266901,27976,322407,617284,98.37,46.99,903533.06,1463614.46
12,Maharashtra,397897,11259,397897,11259,199667,8668,199667,8668,172631,380966,93.11,50.92,461491.25,3371497.43
13,Odisha,730908,35457,732530,35843,462996,8872,463129,8990,146340,618459,80.49,61.44,676078.86,763729.00
14,Rajasthan,113162,5213,113162,5213,49215,2551,49215,2551,65921,117687,99.42,43.73,70387.18,239763.95
15,Tamil Nadu,33119,1548,33119,1548,15442,1066,15442,1066,12711,29219,84.28,47.62,22104.80,60468.77
16,Telangana,651822,3427,651822,3427,230735,721,230735,721,94426,325882,49.73,35.32,669689.14,457663.17
17,Tripura,200557,164,200557,164,127931,101,127931,101,68848,196880,98.09,63.79,465192.88,552.40
18,Uttar Pradesh,92972,1194,92972,1194,22537,893,22537,893,70736,94166,100.00,24.88,NA/NR,NA/NR
19,Uttarakhand,3587,3091,3587,3091,184,1,184,1,6493,6678,100.00,2.77,0.00,0.00
20,West Bengal,131962,10119,131962,10119,44444,686,44444,686,96587,141717,99.74,31.76,21014.27,572.03
21,Jammu & Kashmir,33233,12857,33233,12857,429,5591,429,5591,39924,45944,99.68,13.06,NA/NR,NA/NR
